model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,7988,-1,lars,positive,0.6356371436447594,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,7988,-2,lars,negative,0.53091825424132,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,7988,-2,lars,positive,0.1239516347036202,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,7988,-3,lars,negative,0.4814907701527118,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,7988,-3,lars,positive,0.3468537458243191,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,8015,-1,lars,negative,0.5580480265384516,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,8015,-1,lars,positive,0.5691491327275346,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,8015,-2,lars,negative,0.518536568284075,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,8015,-2,lars,positive,0.3014751205799927,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,8015,-3,lars,negative,0.5698994841050413,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,8015,-3,lars,positive,0.7823738348572397,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
